,latitude,longitude,address,address2,city,state,country,zip,id,contact_number,email_id,gym_name
0,39.51946,-105.3073,10853 US Hwy 285,,Conifer,Colorado,US,80433,1097,(303) 838-1130,ConiferCO@anytimefitness.com,Conifer
1,34.37465,132.44051,中区舟入南4-20-16 3F,,広島市,広島県,JP,〒730-0847,JP-1729,082-942-0980,af_funairi717_info@anytimefitness.jp,広島市 (舟入店)
2,43.01791,-89.42313,2980 Cahill Main,,Fitchburg,Wisconsin,US,53711,3025,(608) 298-9898,FitchburgWI2@anytimefitness.com,Fitchburg (Cahill Main)
3,-6.16973,106.75114,"RT.8/RW.14, Duri Kepa, Kebonjeruk, West Jakarta City,  Jakarta 11510, Indonesia",,West Jakarta City,Jakarta,ID,,ID-0025,,Greenville@anytimefitness.id,Greenville
4,18.02243,-92.93276,Periférico #204,,Villahermosa,Tabasco,MX,86690,MX-1059,(99) 3316-0059,tabasco2000@anytimefitness.com.mx,Villahermosa (Plaza Mallorca)
5,1.27321,103.84072,"1557 Keppel Rd, #01-03",,Singapore,Central Singapore,SG,089066,SG-0091,+65 8709 7218,Keppel@anytimefitness.sg,Keppel
6,34.98192,135.81648,山科区東野片下り町22-1 ときわぎビル 2F,,京都市,京都府,JP,〒607-8156,JP-1460,075-606-1110,af_yamashina444_info@anytimefitness.jp,京都市 (山科店)
7,,,,,Madrid,Madrid,ES,2800,SP-0102,,,Madrid
8,29.77269,-95.81706,1251 Pin Oak Rd,,Katy,Texas,US,77494,2929,(832) 437-1513,KatyTX@anytimefitness.com,Katy
9,36.081651,-119.038145,910 W Henderson Ave,,Porterville,California,US,93257,5508,(559) 560-5110,PortervilleCA@anytimefitness.com,Porterville
10,-33.4365,151.38534,3/184-186 The Entrance Road,,Erina,New South Wales,AU,2250,AU-1031,02 43677922,erina@anytimefitness.com.au,Erina
11,36.13195,140.07903,筑穂2-3-2,,つくば市,茨城県,JP,〒300-3257,JP-2986,029-828-5107,af_tsukubatsukuho1197_info@anytimefitness.jp,つくば市 (つくば筑穂店)
12,,,,,Sitges,Catalonia,ES,08870,SP-0111,,,Sitges
13,41.87451,12.44841,Via Giuseppe Ghislieri 12,,Roma,Roma,IT,00152,IT-0055,3758469852,romapamphili@anytimefitness.it,Roma (Pamphili)
14,28.586,77.07152,F -601-603,,Delhi,Delhi,IN,110075,IN-1064,+918920341360,dwarka7.delhi@anytimefitness.in,"New Delhi, Dwarka , Sec-7"
15,43.46736,-3.80414,José Rioja 1,,Santander,Cantabria,ES,39001,SP-0080,690824486,santander@anytimefitness.es,Santander
16,34.70128,135.70848,小明町1341 1F,,生駒市,奈良県,JP,〒630-0201,JP-1489,0743-85-4323,af_naraikoma478_info@anytimefitness.jp,生駒市 (奈良生駒店)
17,30.23199,-92.66208,1210 Elton Rd,,Jennings,Louisiana,US,70546,1807,(337) 821-1002,JenningsLA@anytimefitness.com,Jennings
18,41.56723,2.09317,"Boí, 15",,Sabadell Nord Barcelona,Catalonia,ES,08207,SP-0071,638405066,sabadellnord@anytimefitness.es,Sabadell Nord (Barcelona)
19,36.32683,139.82463,城北3-20‐13,,小山市,栃木県,JP,〒323-0029,JP-3026,0285-32-7751,af_oyamakita1236_info@anytimefitness.jp,小山市 (小山北店)
20,32.37434,-111.12515,7475 W Twin Peaks Rd,,Tucson,Arizona,US,85743,440,(520) 579-6615,TucsonAZ2@anytimefitness.com,Tucson (W. Twin Peaks Rd)
21,19.3944,-99.28128,"Blvd. Palmas Hills 1-1, Hacienda de las Palmas,",,Estado de México,Mexico,MX,52763,MX-1173,5563536002,interlomas@anytimefitness.com.mx,Estado de México (Interlomas)
22,-31.77902,115.96775,7 Locke Lane,,Ellenbrook,Western Australia,AU,6069,AU-1479,08 6296 3045,ellenbrook@anytimefitness.com.au,Ellenbrook
23,34.9777,135.73162,南区吉祥院中島町40 1F,,京都市,京都府,JP,〒601-8313,JP-1490,075-632-8720,af_nishioji479_info@anytimefitness.jp,京都市 (西大路店)
24,35.73265,139.46499,小川東町1-6-24 1F,,小平市,東京都,JP,〒187-0031,JP-1645,042-313-5477,af_kodairaogawa634_info@anytimefitness.jp,小平市 (小平小川町店)
25,38.58803,-77.30296,16705 River Rdg Blvd,,Woodbridge,Virginia,US,22191,1121,(703) 441-1800,WoodbridgeVA@anytimefitness.com,Woodbridge
26,32.20312,-95.85354,201 S Palestine,,Athens,Texas,US,75751,715,(903) 264-2007,AthensTX@anytimefitness.com,Athens
27,32.09236,-96.47026,200 N 15th St,,Corsicana,Texas,US,75110,1130,(903) 874-2800,CorsicanaTX@anytimefitness.com,Corsicana
28,50.14223,-96.87548,344 Main St.,,Selkirk,Manitoba,CA,R1A 1T4,3382,(204) 485-8338,afselkirkmanager@anytimefitness.ca,Selkirk
29,35.84567,139.9533,南柏1-9-1 ル・ミディ 1F,,柏市,千葉県,JP,〒277-0855,JP-1494,04-7157-0828,af_minamikashiwa485_info@anytimefitness.jp,柏市 (南柏店)
30,49.91014,-97.02697,1750 Plessis Rd,,Winnipeg,Manitoba,CA,R3W 0B3,4875,(431) 999-1555,Transcona@anytimefitness.ca,Winnipeg
31,49.18632,-2.107,Pirouet House,,St Helier (Jersey),South East,GB,JE2 3RF,UK-0428,01534 733080,sthelier@anytimefitness.co.uk,St Helier (Jersey)
32,35.78469,139.78395,栗原4-7-13 1-2F,,足立区,東京都,JP,〒123-0842,JP-2897,03-6803-1872,af_kurihara1108_info@anytimefitness.jp,足立区 (栗原店)
33,43.08424,-89.50154,1011 N Gammon Rd,,Middleton,Wisconsin,US,53562,595,(608) 836-3131,MiddletonWI@anytimefitness.com,Middleton
34,44.9382,-93.6651,2238 Commerce Blvd,,Mound,Minnesota,US,55364,113,(952) 491-5200,Mound@anytimefitness.com,Mound
35,,,,,Tijuana,Baja California,MX,TBD,MX-1180,,playastijuana.bc@anytimefitness.com.mx,Baja California (Playas Tijuana)
36,20.69119,-100.44511,Plaza Ubika #502,,Juriquilla,Querétaro,MX,76100,MX-1038,(442) 455 2033 / Cel (442) 2679403,juriquilla@anytimefitness.com.mx,Querétaro (Juriquilla)
37,35.73165,139.76579,西日暮里3-6-14 マンション道灌山 1F-B1,,荒川区,東京都,JP,〒116-0013,JP-1302,03-5834-8236,af_wnippori310_info@anytimefitness.jp,荒川区 (西日暮里店)
38,34.72424,135.3597,甲子園高潮町 3-39 1-2F,,西宮市,兵庫県,JP,〒663-8166,JP-1523,0798-31-7061,af_hanshinkoshien511_info@anytimefitness.jp,西宮市 (阪神甲子園店)
39,35.61362,139.53941,多摩区栗谷3-5-5 1F,,川崎市,神奈川県,JP,〒214-0039,JP-2790,044-328-9517,af_ikuta1022_info@anytimefitness.jp,川崎市 (生田店)
