start_date,end_date,AmountWithFees_Minimum
2025-06-16T00:00:00,2025-06-17T00:00:00,114.93
2025-06-17T00:00:00,2025-06-18T00:00:00,123.33
2025-06-18T00:00:00,2025-06-19T00:00:00,123.33
2025-06-19T00:00:00,2025-06-20T00:00:00,142.93
2025-06-20T00:00:00,2025-06-21T00:00:00,369.73
2025-06-21T00:00:00,2025-06-22T00:00:00,537.73
2025-06-22T00:00:00,2025-06-23T00:00:00,159.73
2025-06-23T00:00:00,2025-06-24T00:00:00,134.53
2025-06-24T00:00:00,2025-06-25T00:00:00,134.53
2025-06-25T00:00:00,2025-06-26T00:00:00,123.33
2025-06-26T00:00:00,2025-06-27T00:00:00,123.33
2025-06-27T00:00:00,2025-06-28T00:00:00,193.33
2025-06-28T00:00:00,2025-06-29T00:00:00,176.53
2025-06-29T00:00:00,2025-06-30T00:00:00,100.93
2025-06-30T00:00:00,2025-07-01T00:00:00,81.33
